porto,sentido,eta,mercadoria,peso,unidade_Peso
Paranagua,ImportExport,25/06/2024,OUTS.CARREGADORAS/PAS-CARREGAD,36000000,Tons
Paranagua,ImportExport,26/06/2024,CONTÊINERES,2100,Movs
Paranagua,Import,26/06/2024,FERTILIZ.MINER.QUIM.C/NITROGEN,38500000,Tons
Paranagua,ImportExport,28/06/2024,CONTÊINERES,1050,Movs
Paranagua,Import,30/06/2024,METANOL,25500000,Tons
Paranagua,ImportExport,03/07/2024,CONTÊINERES,750,Movs
Paranagua,ImportExport,05/07/2024,CONTÊINERES,1050,Movs
Paranagua,ImportExport,07/07/2024,CONTÊINERES,500,Movs
Paranagua,ImportExport,09/07/2024,OUTS.CARREGADORAS/PAS-CARREGAD,36000000,Tons
Paranagua,ImportExport,23/07/2024,OUTS.CARREGADORAS/PAS-CARREGAD,36000000,Tons
Paranagua,ImportExport,14/08/2024,OUTS.CARREGADORAS/PAS-CARREGAD,36000000,Tons
Paranagua,ImportExport,13/12/2024,PASSAGEIROS,0,Tons
Paranagua,ImportExport,19/02/2025,PASSAGEIROS,0,Tons
Paranagua,ImportExport,27/02/2025,PASSAGEIROS,0,Tons
Paranagua,ImportExport,22/12/2025,PASSAGEIROS,0,Tons
Paranagua,ImportExport,08/02/2026,PASSAGEIROS,0,Tons
Paranagua,Export,20/02/2026,PASSAGEIROS,0,Tons
